"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aphelios","ADC",1,"1.4%","0.0%","1.4%","100%","100%",3,4,6,2.3,"42.9%","50.0%","100%",147,233,11,8.8,"27.3%",633,"18.2%","23.4%",0.43,0.22
"Ashe","ADC",21,"30.4%","0.0%","30.4%","43%","14%",63,58,138,3.5,"73.1%","21.4%","24%",-59,-127,-2.1,9.4,"30.5%",703,"25.7%","26.4%",0.39,0.28
"Aurora","Middle",10,"14.5%","10.1%","29.0%","50%","30%",32,22,48,3.6,"58.0%","16.7%","10%",-41,-15,-3.9,8.5,"23.8%",663,"26.0%","20.6%",0.32,0.32
"Aurora","Top",3,"4.3%","10.1%","29.0%","33%","100%",7,10,15,2.2,"53.7%","20.4%","0%",446,51,9.7,7.8,"21.6%",563,"22.9%","19.0%",0.4,0.24
"Azir","Middle",9,"13.0%","24.6%","37.7%","11%","33%",23,44,35,1.3,"62.4%","24.3%","22%",138,245,3.9,9.2,"27.5%",709,"26.3%","23.7%",0.42,0.34
"Bard","Support",16,"23.2%","37.7%","60.9%","69%","38%",22,44,196,5,"84.8%","22.0%","38%",9,39,-0.2,1,"2.7%",269,"9.2%","11.3%",2.05,0.58
"Braum","Support",1,"1.4%","0.0%","1.4%","0%","100%",0,5,3,0.6,"75.0%","27.8%","0%",99,-101,0,1.1,"2.4%",94,"5.1%","10.3%",2.01,0.54
"Caitlyn","ADC",17,"24.6%","10.1%","34.8%","65%","82%",74,32,66,4.4,"65.7%","17.9%","24%",332,229,8,10.4,"31.7%",709,"28.8%","28.1%",0.44,0.32
"Cassiopeia","Middle",8,"11.6%","20.3%","31.9%","75%","88%",27,23,56,3.6,"58.5%","25.8%","25%",180,72,8.1,8.8,"24.2%",681,"22.4%","20.8%",0.43,0.23
"Corki","ADC",20,"29.0%","0.0%","29.0%","50%","50%",103,53,81,3.5,"66.2%","21.8%","20%",-70,-40,-0.7,9.9,"31.3%",890,"29.4%","27.4%",0.41,0.32
"Dr. Mundo","Jungle",6,"8.7%","4.3%","13.0%","33%","100%",17,14,39,4,"71.8%","14.4%","17%",-179,168,3.7,7.1,"21.0%",776,"26.3%","21.4%",0.3,0.37
"Elise","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",20,"29.0%","11.6%","40.6%","35%","55%",56,51,85,2.8,"63.8%","17.3%","20%",97,38,4.4,9.7,"29.9%",896,"32.8%","26.2%",0.42,0.26
"Galio","Middle",5,"7.2%","4.3%","13.0%","40%","100%",8,19,38,2.4,"70.8%","28.8%","60%",92,298,-1.2,8,"20.0%",465,"19.5%","18.3%",0.36,0.25
"Galio","Top",1,"1.4%","4.3%","13.0%","0%","100%",0,3,0,0,"0.0%","18.8%","0%",-1151,-495,-14,6.7,"15.3%",324,"17.7%","13.6%",0.43,0.1
"Gnar","Top",13,"18.8%","11.6%","30.4%","69%","54%",37,38,57,2.5,"43.3%","22.5%","23%",-14,-114,-0.3,8.8,"25.9%",645,"20.2%","20.8%",0.43,0.23
"Gragas","Top",3,"4.3%","0.0%","4.3%","33%","100%",3,9,13,1.8,"43.2%","20.0%","0%",-214,-91,-14.3,8.4,"24.5%",341,"14.6%","19.0%",0.42,0.2
"Gwen","Top",2,"2.9%","10.1%","13.0%","100%","100%",8,5,9,3.4,"53.1%","22.7%","0%",-43,-22,3.5,8.8,"22.4%",924,"32.1%","21.8%",0.42,0.15
"Hwei","Middle",7,"10.1%","0.0%","10.1%","57%","71%",20,11,48,6.2,"68.0%","14.1%","29%",72,268,7.3,8.3,"22.1%",849,"27.6%","20.7%",0.55,0.16
"Irelia","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",18,"26.1%","46.4%","72.5%","50%","6%",43,47,152,4.1,"89.0%","22.3%","56%",135,100,2.1,7,"18.7%",350,"13.9%","20.5%",0.31,0.38
"Jax","Top",3,"4.3%","1.4%","5.8%","67%","100%",12,11,14,2.4,"48.1%","35.5%","0%",-85,-85,-9.3,7.1,"22.0%",512,"18.1%","19.1%",0.55,0.19
"Jayce","Top",12,"17.4%","20.3%","37.7%","50%","8%",31,34,55,2.5,"62.3%","19.7%","8%",405,140,13.1,9.2,"25.0%",779,"28.0%","23.6%",0.41,0.21
"Jhin","ADC",8,"11.6%","5.8%","17.4%","38%","63%",25,18,42,3.7,"67.7%","14.1%","38%",191,158,4.6,9.5,"28.8%",619,"22.0%","26.4%",0.45,0.15
"K'Sante","Top",10,"14.5%","0.0%","14.5%","40%","100%",25,27,48,2.7,"56.2%","19.9%","10%",-183,-185,-2.2,7.9,"20.6%",407,"15.6%","18.8%",0.43,0.15
"Kai'Sa","ADC",3,"4.3%","2.9%","7.2%","33%","100%",16,7,9,3.6,"61.0%","15.6%","0%",-499,-489,-18,9.1,"31.1%",600,"25.9%","27.5%",0.49,0.24
"Karma","Support",7,"10.1%","75.4%","85.5%","43%","0%",4,14,59,4.5,"76.8%","14.3%","43%",61,-7,-0.6,1,"2.3%",201,"7.5%","10.3%",1.93,0.49
"Kennen","Top",1,"1.4%","0.0%","1.4%","0%","100%",1,7,1,0.3,"40.0%","41.2%","0%",-679,-1058,-3,8.2,"20.9%",602,"33.4%","18.4%",0.34,0.12
"LeBlanc","Middle",1,"1.4%","8.7%","10.1%","0%","100%",4,1,3,7,"63.6%","5.3%","0%",584,395,17,7.9,"19.7%",807,"30.6%","20.9%",0.17,0.41
"Lee Sin","Jungle",3,"4.3%","8.7%","13.0%","67%","67%",21,8,23,5.5,"86.3%","23.5%","33%",82,281,4,7.1,"18.2%",614,"21.3%","22.5%",0.6,0.25
"Leona","Support",1,"1.4%","0.0%","1.4%","0%","0%",0,4,5,1.3,"62.5%","19.0%","0%",-314,96,-5,0.9,"1.4%",163,"7.3%","9.0%",1.42,0.53
"Lissandra","Middle",1,"1.4%","0.0%","1.4%","0%","100%",2,3,1,1,"100.0%","18.8%","100%",398,406,10,9.8,"25.8%",430,"24.8%","24.8%",0.31,0.27
"Lucian","ADC",9,"13.0%","13.0%","26.1%","56%","22%",39,22,39,3.5,"68.4%","18.8%","44%",241,60,3.1,9.8,"31.7%",905,"32.1%","28.4%",0.42,0.31
"Lulu","Support",13,"18.8%","5.8%","24.6%","31%","69%",3,23,118,5.3,"79.6%","12.7%","38%",-39,-4,3.3,1,"1.8%",208,"8.2%","9.8%",1.78,0.4
"Lux","Support",2,"2.9%","0.0%","2.9%","100%","100%",0,1,17,17,"89.5%","20.0%","100%",340,445,4,1.2,"1.9%",289,"12.9%","11.4%",1.8,0.45
"Malphite","Jungle",1,"1.4%","2.9%","4.3%","100%","100%",3,3,7,3.3,"71.4%","27.3%","100%",188,-559,-9,7.5,"19.3%",347,"16.3%","19.5%",0.36,0.39
"Maokai","Jungle",1,"1.4%","0.0%","1.4%","0%","100%",0,7,3,0.4,"42.9%","31.8%","0%",-248,-549,-8,5.9,"16.4%",585,"21.0%","16.4%",0.23,0.47
"Mel","Middle",2,"2.9%","2.9%","5.8%","0%","100%",2,6,2,0.7,"66.7%","17.1%","0%",-205,-387,4.5,9.3,"26.9%",718,"35.6%","23.8%",0.44,0.23
"Milio","Support",6,"8.7%","0.0%","8.7%","50%","67%",1,9,61,6.9,"78.5%","11.1%","50%",-11,50,-2.2,0.9,"1.7%",128,"4.6%","9.7%",1.69,0.36
"Miss Fortune","ADC",4,"5.8%","1.4%","7.2%","0%","75%",7,16,10,1.1,"56.7%","18.0%","25%",-348,8,-7.3,9.1,"31.9%",619,"26.1%","24.5%",0.33,0.24
"Morgana","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Naafiri","Jungle",4,"5.8%","8.7%","14.5%","50%","75%",15,12,12,2.3,"69.2%","21.4%","25%",47,132,0.3,7,"21.0%",554,"19.3%","22.0%",0.27,0.34
"Nami","Support",23,"33.3%","0.0%","33.3%","52%","78%",14,42,233,5.9,"81.0%","15.8%","30%",-32,-24,0,0.9,"1.7%",256,"9.0%","10.5%",1.63,0.37
"Nasus","Jungle",1,"1.4%","0.0%","1.4%","100%","100%",10,0,3,13,"61.9%","0.0%","0%",116,-155,-1,7.8,"26.2%",907,"26.0%","28.1%",0.25,0.36
"Nautilus","Support",11,"15.9%","36.2%","52.2%","45%","55%",5,40,102,2.7,"70.4%","22.7%","36%",-91,-251,-1.6,0.9,"1.8%",163,"5.9%","9.3%",1.86,0.35
"Neeko","Support",15,"21.7%","10.1%","31.9%","40%","33%",15,47,110,2.7,"66.1%","21.5%","20%",59,10,-1.5,1.1,"3.2%",339,"13.1%","11.0%",1.73,0.53
"Nocturne","Jungle",11,"15.9%","49.3%","65.2%","27%","27%",32,38,71,2.7,"75.2%","22.6%","36%",13,183,3.1,7.1,"20.8%",437,"15.1%","21.0%",0.36,0.27
"Olaf","Jungle",1,"1.4%","2.9%","4.3%","100%","100%",11,2,8,9.5,"86.4%","18.2%","100%",176,294,16,7.6,"22.2%",1072,"31.3%","26.1%",0.27,0.27
"Orianna","Middle",9,"13.0%","72.5%","85.5%","78%","0%",32,31,85,3.8,"73.6%","29.0%","11%",-76,-144,1,8.3,"23.6%",626,"20.5%","20.1%",0.54,0.23
"Ornn","Top",9,"13.0%","5.8%","18.8%","56%","89%",11,10,48,5.9,"62.8%","10.8%","11%",-233,-60,-7.7,8,"21.6%",459,"17.8%","18.2%",0.43,0.13
"Pantheon","Jungle",18,"26.1%","36.2%","62.3%","44%","33%",66,60,104,2.8,"74.2%","23.4%","39%",27,-83,-0.4,6.7,"18.5%",480,"17.3%","20.2%",0.32,0.24
"Poppy","Jungle",4,"5.8%","7.2%","13.0%","25%","75%",8,11,28,3.3,"69.2%","18.6%","25%",138,-315,-6.5,6.3,"18.2%",296,"11.3%","18.9%",0.36,0.38
"Rakan","Support",10,"14.5%","4.3%","18.8%","50%","50%",12,22,101,5.1,"79.0%","16.7%","10%",1,0,1.1,1,"2.2%",189,"7.3%","11.1%",1.97,0.57
"Rell","Support",2,"2.9%","1.4%","4.3%","100%","100%",1,3,35,12,"70.6%","15.0%","0%",-137,-181,-1.5,0.8,"1.3%",229,"6.9%","10.2%",1.9,0.4
"Renata Glasc","-",0,"0%","2.9%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",13,"18.8%","11.6%","30.4%","38%","0%",23,36,35,1.6,"35.6%","19.8%","8%",238,166,7.3,8.9,"25.5%",512,"20.1%","20.8%",0.4,0.19
"Rumble","Support",1,"1.4%","23.2%","58.0%","0%","100%",0,6,2,0.3,"100.0%","33.3%","0%",-300,-129,1,1.4,"3.1%",347,"17.1%","10.4%",1.22,0.38
"Rumble","Top",23,"33.3%","23.2%","58.0%","52%","9%",58,51,109,3.3,"55.1%","18.3%","13%",175,167,3.8,8.2,"22.4%",726,"26.7%","21.4%",0.5,0.09
"Ryze","Middle",17,"24.6%","34.8%","60.9%","47%","18%",53,45,68,2.7,"64.4%","21.8%","41%",32,-249,-5.6,9.7,"28.0%",567,"22.0%","23.2%",0.43,0.27
"Ryze","Top",1,"1.4%","34.8%","60.9%","0%","100%",0,3,2,0.7,"25.0%","14.3%","0%",63,-214,-7,9.1,"25.4%",425,"18.8%","19.1%",0.59,0.24
"Sejuani","Jungle",9,"13.0%","0.0%","13.0%","67%","89%",22,8,70,11.5,"72.4%","9.5%","56%",32,-211,-3.7,6.9,"18.3%",347,"12.4%","19.2%",0.36,0.36
"Senna","ADC",3,"4.3%","0.0%","4.3%","100%","100%",12,10,41,5.3,"86.9%","22.2%","33%",-301,-91,-8.7,7.9,"24.9%",971,"28.6%","24.1%",0.39,0.23
"Seraphine","Support",21,"30.4%","30.4%","60.9%","57%","19%",19,44,220,5.4,"83.6%","16.9%","19%",75,141,1.3,1.1,"2.2%",273,"10.3%","11.1%",1.6,0.3
"Shen","Jungle",3,"4.3%","2.9%","11.6%","67%","100%",11,7,32,6.1,"74.1%","15.2%","33%",-64,22,-1.3,6.9,"21.2%",353,"9.6%","21.6%",0.29,0.29
"Shen","Top",3,"4.3%","2.9%","11.6%","33%","100%",14,9,18,3.6,"78.0%","23.1%","0%",-315,97,-13,8,"26.8%",660,"25.7%","23.4%",0.31,0.2
"Sion","Middle",1,"1.4%","7.2%","33.3%","100%","100%",2,2,9,5.5,"78.6%","18.2%","0%",-254,-112,-5,8.4,"22.8%",421,"19.8%","19.3%",0.19,0.19
"Sion","Top",17,"24.6%","7.2%","33.3%","53%","65%",26,45,118,3.2,"54.5%","17.9%","0%",-208,-126,-4.8,7.4,"20.1%",531,"17.9%","17.2%",0.42,0.18
"Sivir","ADC",3,"4.3%","7.2%","11.6%","67%","100%",13,6,31,7.3,"72.1%","12.5%","0%",260,475,7.7,10.5,"34.5%",1056,"31.5%","28.6%",0.46,0.28
"Skarner","Jungle",9,"13.0%","11.6%","24.6%","67%","67%",29,25,56,3.4,"73.9%","21.4%","33%",-108,-178,-4.7,6.4,"17.1%",417,"15.4%","18.7%",0.28,0.29
"Smolder","ADC",2,"2.9%","0.0%","4.3%","100%","100%",10,0,12,22,"73.3%","0.0%","50%",-208,-222,-7.5,10.3,"32.7%",751,"28.8%","25.8%",0.32,0.31
"Smolder","Middle",1,"1.4%","0.0%","4.3%","0%","100%",0,3,1,0.3,"25.0%","18.8%","0%",-419,-334,7,10.3,"32.6%",668,"36.4%","24.5%",0.36,0.13
"Sylas","Middle",3,"4.3%","5.8%","11.6%","67%","100%",18,11,17,3.2,"58.3%","27.5%","0%",251,142,-1,8.6,"23.6%",628,"21.5%","21.4%",0.28,0.41
"Sylas","Top",1,"1.4%","5.8%","11.6%","100%","100%",5,1,5,10,"45.5%","12.5%","0%",91,165,-5,8,"27.4%",657,"24.9%","21.1%",0.41,0.3
"Syndra","Middle",1,"1.4%","1.4%","2.9%","0%","100%",1,4,6,1.8,"77.8%","16.0%","0%",215,-261,9,8.3,"26.3%",662,"30.6%","20.9%",0.6,0.16
"Taliyah","Middle",4,"5.8%","8.7%","14.5%","25%","75%",6,10,14,2,"60.6%","17.9%","25%",-291,-156,-4,8.6,"24.7%",464,"21.7%","19.2%",0.4,0.23
"Trundle","Jungle",2,"2.9%","0.0%","2.9%","50%","100%",10,6,14,4,"80.0%","16.2%","0%",-499,-526,-10.5,6,"17.8%",383,"14.3%","23.3%",0.31,0.53
"Twisted Fate","Middle",5,"7.2%","4.3%","11.6%","60%","80%",15,12,36,4.3,"72.9%","19.7%","0%",215,-305,-12.8,9,"26.1%",517,"18.7%","24.3%",0.4,0.24
"Varus","ADC",8,"11.6%","75.4%","89.9%","88%","0%",42,21,65,5.1,"66.5%","22.6%","25%",-186,-4,-5.9,8.9,"28.2%",909,"28.0%","25.4%",0.44,0.25
"Varus","Top",2,"2.9%","75.4%","89.9%","50%","0%",7,11,6,1.2,"46.4%","39.3%","0%",336,-41,13.5,7.3,"20.1%",556,"25.1%","19.8%",0.52,0.18
"Vayne","ADC",2,"2.9%","4.3%","10.1%","50%","100%",5,5,5,2,"38.5%","19.2%","0%",-478,-219,-14.5,8.9,"27.2%",306,"12.9%","23.5%",0.38,0.28
"Vayne","Top",2,"2.9%","4.3%","10.1%","100%","100%",11,3,10,7,"52.5%","27.3%","0%",129,162,4,8.4,"22.6%",630,"20.8%","20.6%",0.43,0.16
"Vex","Middle",1,"1.4%","0.0%","1.4%","0%","100%",4,4,3,1.8,"77.8%","21.1%","0%",-111,-429,-7,8.1,"26.4%",752,"36.8%","24.9%",0.5,0
"Vi","Jungle",15,"21.7%","14.5%","36.2%","33%","13%",36,58,76,1.9,"65.5%","26.1%","27%",-75,131,0.4,6.9,"18.1%",276,"11.1%","19.9%",0.26,0.27
"Viktor","Middle",8,"11.6%","8.7%","20.3%","38%","50%",25,29,46,2.4,"72.4%","21.5%","0%",-94,95,3.5,8.6,"24.4%",985,"32.9%","21.8%",0.52,0.16
"Volibear","Top",1,"1.4%","0.0%","1.4%","0%","100%",5,6,3,1.3,"50.0%","25.0%","0%",-57,-512,21,6.5,"17.8%",627,"17.3%","20.0%",0.41,0.08
"Wukong","Jungle",6,"8.7%","14.5%","23.2%","67%","67%",28,15,40,4.5,"70.1%","18.8%","17%",-82,-7,-1.8,7.2,"20.9%",477,"16.3%","22.7%",0.33,0.41
"Xayah","ADC",6,"8.7%","2.9%","11.6%","50%","67%",19,11,37,5.1,"62.2%","13.8%","17%",216,268,4.2,10.1,"32.3%",822,"27.9%","27.1%",0.41,0.24
"Xerath","Middle",1,"1.4%","0.0%","1.4%","100%","100%",4,1,5,9,"52.9%","14.3%","0%",-289,-68,-11,8.1,"16.2%",761,"26.2%","19.1%",0.58,0.17
"Xin Zhao","Jungle",20,"29.0%","20.3%","49.3%","55%","65%",70,42,119,4.5,"68.2%","17.7%","45%",8,-81,-0.1,7.2,"20.2%",481,"18.3%","20.8%",0.32,0.39
"Yone","Middle",8,"11.6%","1.4%","13.0%","75%","63%",32,15,40,4.8,"62.6%","20.8%","13%",-87,8,-3.5,10.1,"29.5%",697,"27.2%","24.9%",0.3,0.26
"Yorick","Top",5,"7.2%","10.1%","17.4%","20%","100%",8,19,12,1.1,"41.7%","23.8%","0%",-105,139,-5,9.3,"28.2%",582,"24.8%","22.2%",0.43,0.09
"Yunara","ADC",11,"15.9%","1.4%","17.4%","36%","27%",40,41,45,2.1,"75.2%","25.2%","9%",-383,-331,-8,9.8,"32.1%",701,"29.3%","28.3%",0.38,0.28
"Zaahen","Top",3,"4.3%","0.0%","4.3%","33%","100%",2,6,7,1.5,"56.3%","13.3%","0%",-467,-156,-15,9,"26.0%",567,"27.8%","21.0%",0.4,0.15
"Ziggs","Middle",1,"1.4%","17.4%","18.8%","100%","0%",2,1,7,9,"52.9%","20.0%","0%",171,362,9,9.7,"22.4%",726,"27.5%","21.1%",0.61,0.15
