"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sylas","Middle",6,"3.3%","1.1%","6.1%","50%","100%",27,17,29,3.3,"70.9%","17.3%","50%",-77,-36,-6.8,9,"23.7%",632,"22.8%","22.3%",0.24,0.23
"Sylas","Top",3,"1.7%","1.1%","6.1%","33%","100%",5,8,17,2.8,"64.7%","29.6%","33%",74,335,0.3,8.4,"23.2%",519,"23.9%","21.2%",0.34,0.11
"Syndra","Middle",1,"0.6%","2.2%","2.8%","0%","100%",2,3,3,1.7,"62.5%","17.6%","0%",-52,154,8,9.3,"21.9%",413,"20.2%","22.9%",0.56,0.19
"Tahm Kench","Support",1,"0.6%","0.0%","0.6%","0%","100%",0,8,6,0.8,"85.7%","29.6%","100%",197,2,-6,0.7,"0.5%",148,"6.3%","9.6%",2.22,0.32
"Taliyah","Middle",14,"7.8%","2.2%","10.0%","43%","93%",42,40,84,3.2,"71.2%","17.9%","21%",-107,-170,-4.1,9.1,"25.7%",630,"24.6%","21.6%",0.53,0.18
"Thresh","Support",2,"1.1%","0.6%","1.7%","50%","100%",0,4,26,6.5,"86.7%","14.8%","100%",322,184,6,1.1,"1.0%",162,"6.1%","9.1%",1.73,0.36
"Tristana","Top",1,"0.6%","0.6%","1.1%","0%","100%",3,4,3,1.5,"50.0%","16.7%","0%",376,415,11,8.2,"20.1%",597,"21.0%","20.2%",0.5,0.19
"Trundle","Jungle",14,"7.8%","6.1%","13.9%","64%","93%",34,41,133,4.1,"69.3%","24.4%","36%",199,141,3.4,6.5,"16.7%",388,"13.4%","18.8%",0.37,0.54
"Twisted Fate","Middle",14,"7.8%","10.6%","20.0%","50%","50%",37,41,90,3.1,"66.5%","20.0%","14%",64,-214,-10.9,8.6,"24.5%",565,"20.2%","23.6%",0.37,0.27
"Twisted Fate","Top",3,"1.7%","10.6%","20.0%","67%","100%",4,8,15,2.4,"44.2%","18.2%","0%",427,-203,5,8.4,"24.7%",586,"19.0%","22.1%",0.47,0.19
"Varus","ADC",5,"2.8%","86.1%","92.2%","20%","0%",18,24,25,1.8,"59.7%","22.9%","20%",-251,-29,-1.8,8.8,"24.9%",855,"28.9%","24.5%",0.42,0.19
"Varus","Top",6,"3.3%","86.1%","92.2%","33%","0%",20,29,18,1.3,"48.7%","30.2%","33%",106,-209,7.5,8,"23.9%",683,"25.3%","20.5%",0.53,0.19
"Vayne","Top",12,"6.7%","13.9%","20.6%","75%","100%",47,26,56,4,"50.2%","18.2%","17%",169,47,8.8,8.5,"23.3%",654,"24.2%","20.5%",0.45,0.2
"Vi","Jungle",37,"20.6%","20.6%","41.1%","51%","51%",106,137,275,2.8,"63.6%","23.5%","32%",21,125,3.4,7,"18.6%",392,"13.2%","19.4%",0.38,0.42
"Viktor","Middle",14,"7.8%","2.8%","10.6%","29%","57%",48,36,69,3.3,"65.0%","16.0%","29%",-146,110,1.7,9.1,"25.0%",825,"27.8%","21.7%",0.49,0.2
"Wukong","Jungle",19,"10.6%","6.7%","17.2%","53%","84%",79,60,123,3.4,"68.7%","21.5%","26%",-28,-32,0.6,6.9,"17.8%",457,"15.7%","21.0%",0.38,0.47
"Xayah","ADC",5,"2.8%","0.6%","3.3%","80%","80%",23,17,43,3.9,"70.2%","25.8%","40%",133,146,3.6,10.8,"33.7%",772,"26.3%","28.5%",0.51,0.34
"Xin Zhao","Jungle",66,"36.7%","16.7%","53.3%","47%","47%",186,221,440,2.8,"69.2%","23.2%","39%",-57,-28,-0.7,7.1,"19.0%",490,"17.5%","20.1%",0.36,0.42
"Yone","Middle",9,"5.0%","1.7%","6.7%","67%","78%",36,20,46,4.1,"61.7%","14.6%","0%",-154,51,-3.8,10.1,"29.9%",614,"23.5%","24.1%",0.44,0.15
"Yorick","Top",27,"15.0%","9.4%","24.4%","52%","93%",68,76,103,2.3,"45.6%","18.0%","11%",-221,6,-3.6,9.1,"25.7%",584,"22.8%","21.5%",0.43,0.14
"Yunara","ADC",47,"26.1%","12.2%","38.3%","43%","30%",196,163,236,2.7,"66.0%","22.8%","15%",-207,-99,-5.4,10.2,"32.7%",735,"27.4%","27.9%",0.44,0.41
"Yuumi","Support",3,"1.7%","1.7%","3.3%","100%","100%",1,4,55,14,"82.4%","10.3%","0%",-7,275,0.3,0.6,"0.7%",326,"8.6%","11.4%",1.81,0.1
"Zaahen","Top",12,"6.7%","1.7%","8.3%","67%","100%",35,22,60,4.3,"50.0%","13.2%","17%",32,41,-1.8,8.8,"25.0%",723,"24.1%","21.0%",0.38,0.24
"Zeri","ADC",2,"1.1%","0.6%","1.7%","50%","100%",7,8,8,1.9,"62.5%","27.6%","0%",-327,-291,-14,11,"36.2%",606,"24.9%","29.0%",0.37,0.52
"Ziggs","ADC",10,"5.6%","6.1%","12.8%","80%","90%",50,21,98,7,"71.5%","15.6%","20%",-65,218,-1.5,9.6,"28.2%",985,"31.2%","26.3%",0.52,0.18
"Ziggs","Middle",2,"1.1%","6.1%","12.8%","50%","100%",11,7,7,2.6,"60.0%","16.7%","0%",196,63,9,8.5,"24.8%",1135,"33.6%","21.5%",0.53,0.2
"Zoe","Middle",1,"0.6%","0.6%","1.1%","100%","100%",1,3,7,2.7,"57.1%","33.3%","0%",243,-439,0,8.5,"20.7%",735,"28.7%","18.5%",0.58,0.15
"Zyra","Middle",1,"0.6%","0.0%","0.6%","0%","100%",1,4,6,1.8,"41.2%","17.4%","0%",-24,147,-9,8,"20.6%",903,"31.5%","16.7%",0.61,0.27
