"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Feisty","LØS","Middle",9,"67%","25%",34,25,42,3,"50.0%","22.4%","24.8%","22%",-171,-415,-0.7,8.2,"22.8%",597,"20.1%","19.0%",5803,261,"19.3%",0,0.34,0.25,0.25
"frosty","RED Canids","Support",7,"43%","43%",7,17,61,4,"80.0%","8.2%","18.5%","29%",108,-38,4.4,1.2,"2.4%",182,"7.0%","5.2%",772,130,"10.3%",0,2.36,0.57,0.52
"Guigo","FURIA","Top",6,"100%","67%",12,11,37,4.5,"48.5%","11.9%","25.0%","0%",-278,-99,-6.3,8.4,"22.9%",541,"20.5%","18.2%",7875,258,"19.0%",0,0.37,0.17,0.23
"JoJo","FURIA","Support",6,"100%","33%",3,7,73,10.9,"75.2%","3.0%","15.9%","33%",-53,-28,-4.2,1.1,"2.8%",177,"6.8%","5.0%",651,141,"10.4%",0,2.13,0.43,0.62
"Kaiwing","Vivo Keyd Stars","Support",7,"14%","29%",3,23,40,1.9,"76.8%","5.4%","17.6%","14%",-99,-135,2.4,1.1,"2.5%",260,"9.1%","6.9%",607,115,"10.5%",0,1.89,0.26,0.47
"Kaze","RED Canids","Middle",7,"43%","71%",19,21,36,2.6,"64.7%","22.4%","22.8%","14%",-83,-9,2.1,8.2,"21.3%",607,"23.1%","24.9%",6883,239,"19.3%",0,0.51,0.24,0.16
"Mireu","Vivo Keyd Stars","Middle",7,"14%","71%",19,27,22,1.5,"73.2%","33.9%","20.6%","0%",-16,113,3.1,9.1,"26.1%",856,"29.9%","31.9%",5758,263,"24.0%",0,0.38,0.09,0.17
"Momochi","Fluxo W7M","Support",9,"44%","67%",4,27,66,2.6,"61.4%","3.5%","21.1%","11%",-273,-297,-3,1,"1.6%",166,"6.3%","4.0%",632,117,"9.6%",0,2,0.38,0.36
"Morttheus","RED Canids","ADC",7,"43%","57%",17,14,45,4.4,"72.9%","20.0%","15.2%","14%",268,-27,0.9,9.7,"29.5%",766,"28.4%","30.1%",6541,341,"27.1%",0,0.46,0.18,0.39
"Peach","Fluxo W7M","Jungle",9,"44%","33%",24,27,56,3,"70.2%","21.1%","21.1%","22%",150,178,2.4,7.4,"20.5%",437,"16.3%","17.0%",1500,259,"21.3%",0,0.35,0.22,0.39
"sarolu","Vivo Keyd Stars","Jungle",7,"14%","43%",13,26,27,1.5,"71.4%","23.2%","19.8%","14%",-447,-223,-2.7,6.2,"16.6%",497,"17.4%","20.0%",339,210,"19.2%",1,0.32,0.28,0.48
"STEPZ","RED Canids","Jungle",7,"43%","57%",29,21,32,2.9,"71.8%","34.1%","22.8%","29%",33,162,2.7,7.5,"20.8%",497,"19.5%","20.4%",2406,273,"21.9%",1,0.36,0.29,0.43
"Tatu","FURIA","Jungle",6,"100%","67%",36,8,43,9.9,"78.2%","35.6%","18.2%","67%",333,98,3.8,7.4,"21.1%",518,"20.0%","21.6%",6838,310,"22.9%",0,0.31,0.22,0.4
"Tutsz","FURIA","Middle",6,"100%","17%",26,10,48,7.4,"73.3%","25.7%","22.7%","50%",157,53,-2.5,8.2,"22.5%",627,"23.7%","23.5%",9325,280,"20.6%",0,0.41,0.14,0.24
"uZent","LOUD","Support",8,"38%","71%",7,21,56,3,"67.7%","7.5%","19.8%","38%",175,226,-1.5,1,"2.3%",268,"10.0%","8.3%",863,128,"10.5%",0,1.96,0.43,0.51
"Wizer","Vivo Keyd Stars","Top",6,"17%","33%",3,23,18,0.9,"42.0%","6.0%","21.3%","0%",-433,-154,-4.8,8.1,"22.3%",539,"20.0%","17.5%",3473,205,"18.7%",0,0.38,0.13,0.11
"xyno","LOUD","Top",8,"38%","57%",19,19,29,2.5,"51.6%","20.4%","17.9%","13%",269,169,4,8.6,"23.8%",600,"22.2%","20.8%",9466,262,"21.8%",0,0.39,0.16,0.21
"YoungJae","LOUD","Jungle",8,"38%","43%",23,26,42,2.5,"69.9%","24.7%","24.5%","75%",102,-201,-7,7.1,"21.4%",515,"18.5%","19.6%",3311,267,"21.9%",0,0.46,0.35,0.37
"ZekaS","Vivo Keyd Stars","Top",1,"0%","0%",1,4,2,0.8,"50.0%","16.7%","17.4%","0%",-29,-439,-12,7.7,"24.8%",655,"27.0%","18.6%",1196,193,"19.3%",0,0.47,0.13,0.3
"Zest","LØS","Top",9,"67%","75%",42,21,48,4.3,"59.2%","27.6%","20.8%","11%",443,129,13.3,9.3,"27.6%",790,"26.7%","25.1%",11716,329,"24.5%",0,0.41,0.12,0.15
"zynts","RED Canids","Top",7,"43%","43%",13,19,23,1.9,"42.4%","15.3%","20.7%","0%",132,74,8.4,9,"25.9%",589,"22.0%","19.4%",9866,271,"21.4%",0,0.5,0.21,0.15
