"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Viego","Jungle",1,"0.9%","0.0%","0.9%","100%","0%",4,4,3,1.8,"38.9%","20.0%","100%",49,626,15,6.2,"16.9%",279,"8.8%","17.6%",0.35,0.37
"Viktor","Middle",21,"18.9%","7.2%","26.1%","48%","43%",72,58,115,3.2,"66.1%","19.3%","0%",114,150,7.5,9.3,"25.9%",874,"29.7%","21.5%",0.49,0.19
"Wukong","Jungle",21,"18.9%","7.2%","26.1%","52%","67%",72,66,136,3.2,"64.2%","20.6%","38%",-45,-102,-0.7,6.9,"18.6%",423,"14.9%","19.8%",0.33,0.47
"Xayah","ADC",6,"5.4%","1.8%","7.2%","67%","67%",27,17,36,3.7,"67.0%","18.1%","17%",-237,-80,-3.5,10.6,"33.9%",701,"25.0%","28.0%",0.48,0.35
"Xin Zhao","Jungle",37,"33.3%","20.7%","54.1%","51%","32%",83,113,212,2.6,"65.3%","22.3%","27%",-118,-104,-2.2,7.1,"18.8%",450,"17.3%","19.6%",0.33,0.37
"Yasuo","Middle",2,"1.8%","3.6%","7.2%","100%","100%",7,7,13,2.9,"57.1%","36.8%","50%",260,-20,-4,8.9,"24.9%",650,"20.8%","20.2%",0.38,0.08
"Yasuo","Top",2,"1.8%","3.6%","7.2%","100%","100%",3,4,14,4.3,"47.2%","21.1%","0%",-287,-354,-2,10.3,"29.3%",379,"14.9%","22.2%",0.41,0.18
"Yone","Middle",4,"3.6%","3.6%","7.2%","25%","75%",4,10,10,1.4,"53.8%","21.3%","0%",-331,-474,-9.5,10.2,"29.5%",526,"20.2%","22.9%",0.4,0.18
"Yorick","-",0,"0%","6.3%","6.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yunara","ADC",28,"25.2%","7.2%","32.4%","39%","46%",137,81,110,3,"66.9%","19.1%","18%",-18,-81,-0.6,10.4,"32.5%",760,"29.2%","30.3%",0.45,0.37
"Yuumi","Support",1,"0.9%","0.0%","0.9%","0%","100%",0,4,14,3.5,"100.0%","16.0%","0%",-286,-35,1,0.5,"0.1%",363,"10.6%","8.9%",1.93,0.05
"Zaahen","Jungle",10,"9.0%","2.7%","13.5%","50%","90%",38,25,66,4.2,"72.7%","21.2%","60%",232,135,2.6,7.5,"20.3%",520,"19.5%","21.1%",0.37,0.5
"Zaahen","Top",2,"1.8%","2.7%","13.5%","0%","100%",2,8,12,1.8,"51.9%","16.3%","0%",80,218,12.5,8.8,"27.8%",826,"26.7%","20.7%",0.44,0.14
"Zed","Middle",2,"1.8%","0.0%","1.8%","50%","100%",8,7,8,2.3,"59.3%","17.5%","0%",-1001,-721,-26.5,9.3,"28.3%",598,"19.9%","22.0%",0.28,0.37
"Zeri","ADC",3,"2.7%","0.0%","3.6%","33%","50%",23,13,15,2.9,"80.9%","22.0%","0%",179,50,6.7,10.8,"34.7%",1004,"31.0%","33.6%",0.5,0.56
"Zeri","Top",1,"0.9%","0.0%","3.6%","0%","100%",3,6,3,1,"54.5%","27.3%","0%",546,-108,3,9.4,"27.1%",528,"25.5%","24.7%",0.4,0.23
"Ziggs","ADC",2,"1.8%","0.9%","3.6%","0%","100%",2,4,4,1.5,"66.7%","13.3%","100%",157,221,-6,9.8,"29.6%",611,"35.3%","24.4%",0.36,0.16
"Ziggs","Middle",1,"0.9%","0.9%","3.6%","0%","100%",2,3,2,1.3,"50.0%","20.0%","0%",-452,7,-8,9.6,"27.2%",821,"32.7%","20.1%",0.54,0.24
"Zoe","Middle",1,"0.9%","1.8%","2.7%","0%","100%",0,2,0,0,"0.0%","25.0%","0%",-452,-862,-1,9.7,"25.6%",640,"26.7%","21.8%",0.52,0.21
