"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Jopa","SK Gaming","ADC",21,"33%","52%",90,61,95,3,"69.3%","33.7%","15.4%","10%",-105,-7,-2.4,9.8,"29.2%",864,"30.0%","32.8%",5271,339,"27.3%",0,0.48,0.22,0.34
"Jun","GiantX","Support",22,"50%","57%",12,63,191,3.2,"71.7%","4.2%","21.1%","18%",1,43,1.9,1.1,"2.4%",226,"9.1%","7.3%",1078,134,"10.9%",0,2.15,0.44,0.52
"kyeahoo","Karmine Corp","Middle",23,"65%","45%",77,61,160,3.9,"58.7%","19.1%","20.1%","22%",-8,-54,0.9,8.8,"23.2%",731,"23.6%","23.2%",7764,279,"20.1%",0,0.39,0.2,0.26
"Labrov","G2 Esports","Support",21,"71%","43%",23,61,199,3.6,"75.3%","7.8%","24.7%","29%",-59,-15,-1.6,0.9,"2.0%",248,"8.9%","6.8%",848,145,"10.8%",0,1.74,0.33,0.41
"LIDER","SK Gaming","Middle",21,"33%","76%",59,88,100,1.8,"59.6%","22.1%","22.2%","19%",40,26,0.4,9.2,"26.9%",645,"22.6%","20.9%",9974,284,"22.9%",0,0.32,0.12,0.2
"Lospa","Fnatic","Support",23,"43%","43%",13,59,226,4.1,"75.2%","4.1%","20.1%","35%",-61,-16,-0.9,0.9,"1.7%",190,"7.4%","5.4%",637,123,"9.7%",0,2.21,0.51,0.38
"Lot","GiantX","Top",22,"50%","57%",52,57,89,2.5,"49.8%","18.4%","19.1%","23%",46,60,1.7,9,"24.4%",528,"21.2%","20.4%",6728,259,"21.1%",0,0.38,0.15,0.23
"Lyncas","Team Vitality","Jungle",24,"71%","54%",68,50,168,4.7,"63.1%","18.2%","18.7%","38%",26,-39,-1.6,6.6,"17.6%",384,"13.9%","15.1%",3450,248,"18.7%",2,0.32,0.23,0.34
"Maynter","Natus Vincere","Top",23,"52%","57%",48,65,109,2.4,"48.5%","14.8%","19.3%","17%",-154,40,-3.8,7.8,"20.2%",497,"20.0%","18.7%",5995,237,"18.3%",0,0.34,0.16,0.23
"Mikyx","SK Gaming","Support",21,"33%","52%",13,86,187,2.3,"74.9%","4.9%","21.7%","10%",-44,-203,0.2,1.1,"2.4%",224,"7.8%","6.8%",473,127,"10.3%",0,2.05,0.34,0.53
"Myrwn","Movistar KOI","Top",23,"65%","35%",71,68,137,3.1,"52.4%","17.9%","21.9%","9%",-127,-75,-3.7,8.3,"22.0%",651,"21.7%","20.8%",6918,267,"19.4%",1,0.49,0.14,0.18
"Naak Nako","Team Vitality","Top",24,"71%","54%",81,51,118,3.9,"53.2%","21.7%","19.0%","29%",316,194,5,9.1,"25.0%",665,"23.3%","21.4%",12219,302,"22.3%",0,0.38,0.13,0.17
"Noah","GiantX","ADC",22,"50%","48%",67,75,114,2.4,"64.0%","23.7%","25.1%","9%",-180,-97,-3.3,9.4,"28.1%",639,"25.4%","26.6%",5934,311,"25.2%",0,0.48,0.19,0.31
"nuc","Shifters","Middle",22,"27%","68%",72,78,108,2.3,"61.2%","24.5%","20.0%","9%",-9,-23,-0.3,8.9,"25.5%",646,"23.7%","23.8%",5550,269,"21.2%",0,0.44,0.18,0.21
"Paduck","Shifters","ADC",22,"27%","36%",88,76,88,2.3,"59.9%","29.9%","19.5%","18%",32,27,-1.8,9.6,"29.7%",804,"29.2%","31.2%",7091,338,"27.2%",0,0.47,0.14,0.3
"Parus","Natus Vincere","Support",23,"52%","43%",18,68,230,3.6,"76.5%","5.6%","20.2%","30%",-12,12,-0.7,1,"2.1%",228,"9.3%","7.1%",824,135,"10.2%",0,2.23,0.4,0.49
"Poby","Natus Vincere","Middle",23,"52%","26%",91,69,108,2.9,"61.4%","28.1%","20.5%","17%",-74,-1,-0.5,9.4,"26.3%",630,"25.0%","24.9%",7368,286,"21.6%",1,0.42,0.17,0.21
"Razork","Fnatic","Jungle",23,"43%","57%",68,78,171,3.1,"75.2%","21.4%","26.6%","52%",93,-174,-2.7,6.9,"18.2%",485,"19.0%","19.6%",2559,249,"19.6%",0,0.35,0.25,0.42
"Rhilech","Natus Vincere","Jungle",23,"52%","52%",88,66,143,3.5,"71.3%","27.2%","19.6%","35%",236,148,3.7,7.6,"20.4%",474,"18.8%","20.5%",3636,282,"21.5%",2,0.32,0.27,0.39
"Rooster","Shifters","Top",22,"27%","64%",65,76,102,2.2,"56.8%","22.1%","19.5%","18%",397,213,11,9,"25.7%",670,"24.5%","23.0%",10172,279,"22.5%",0,0.38,0.09,0.17
"SamD","Natus Vincere","ADC",23,"52%","43%",79,69,129,3,"64.2%","24.4%","20.5%","30%",-30,-56,-2,10.4,"31.0%",669,"26.9%","28.8%",8482,375,"28.4%",1,0.51,0.14,0.45
"Serin","Team Heretics","Middle",20,"15%","35%",49,54,58,2,"60.8%","27.8%","18.7%","15%",-275,-174,-7.4,8.5,"22.7%",614,"25.9%","28.3%",4672,231,"20.6%",0,0.35,0.13,0.17
"Sheo","Team Heretics","Jungle",14,"21%","57%",25,45,63,2,"67.7%","19.2%","24.5%","64%",38,-40,-1.6,7,"18.2%",355,"15.0%","15.5%",1697,232,"20.0%",0,0.35,0.23,0.35
"Sheo","Shifters","Jungle",5,"60%","60%",20,12,41,5.1,"68.5%","22.5%","15.0%","80%",386,-45,-4.8,7.2,"21.1%",565,"18.2%","20.5%",3220,282,"21.1%",1,0.27,0.18,0.37
"Skeanz","SK Gaming","Jungle",21,"33%","48%",63,77,144,2.7,"77.5%","23.6%","19.4%","33%",-158,-146,-2.7,6.6,"17.5%",499,"17.5%","18.9%",1713,239,"19.5%",2,0.29,0.26,0.33
"SkewMond","G2 Esports","Jungle",21,"71%","67%",63,52,126,3.6,"64.1%","21.4%","21.1%","19%",83,301,5.1,7.3,"19.2%",444,"16.5%","17.5%",3197,266,"20.0%",0,0.42,0.33,0.39
"Supa","Movistar KOI","ADC",23,"65%","61%",140,47,120,5.5,"65.5%","35.3%","15.2%","4%",-173,-105,-3.1,10.2,"30.3%",849,"27.7%","30.7%",9666,400,"29.0%",0,0.35,0.09,0.31
"Tracyn","Team Heretics","Top",20,"15%","50%",32,50,51,1.7,"47.2%","18.2%","17.3%","0%",63,9,-0.3,8.9,"24.3%",564,"23.0%","21.0%",6808,242,"21.3%",0,0.37,0.13,0.13
"Trymbi","Shifters","Support",22,"27%","41%",13,83,198,2.5,"71.8%","4.4%","21.3%","27%",42,-72,0.6,1.1,"2.6%",222,"8.5%","6.8%",493,130,"10.4%",0,1.74,0.22,0.54
"Upset","Fnatic","ADC",23,"43%","48%",121,42,105,5.4,"71.1%","38.1%","14.3%","30%",105,-97,1.1,10.7,"33.3%",801,"31.2%","33.5%",8981,400,"31.3%",0,0.46,0.12,0.33
"Vladi","Fnatic","Middle",23,"43%","57%",71,54,133,3.8,"64.2%","22.3%","18.4%","35%",-25,5,-0.8,9,"24.9%",603,"24.0%","24.3%",6588,267,"20.8%",0,0.47,0.21,0.28
"Way","Team Heretics","Support",20,"15%","70%",6,61,128,2.2,"76.1%","3.4%","21.1%","45%",-64,38,-0.7,1,"1.9%",214,"9.1%","6.8%",449,112,"9.9%",0,1.95,0.39,0.46
"Wunder","SK Gaming","Top",21,"33%","29%",42,85,83,1.5,"46.8%","15.7%","21.4%","10%",-62,-181,0.3,8.6,"24.1%",635,"22.1%","20.7%",6502,253,"20.0%",0,0.52,0.11,0.14
"Yike","Karmine Corp","Jungle",23,"65%","55%",111,76,163,3.6,"67.8%","27.5%","25.1%","17%",-153,-68,0.8,7.2,"19.2%",561,"18.2%","20.3%",2788,291,"21.0%",2,0.32,0.24,0.35
