"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ashe","Support",1,"1.5%","25.8%","37.9%","100%","0%",4,5,18,4.4,"73.3%","31.3%","0%",-116,3,-7,1.2,"3.3%",512,"13.0%","14.0%",1.89,0.72
"Aurora","Middle",13,"19.7%","7.6%","33.3%","38%","8%",55,35,57,3.2,"66.7%","17.2%","8%",-63,148,2.1,8.7,"23.8%",721,"26.1%","22.3%",0.37,0.22
"Aurora","Top",4,"6.1%","7.6%","33.3%","50%","75%",20,11,13,3,"44.0%","19.3%","25%",521,516,11.8,8.7,"26.4%",850,"26.7%","21.8%",0.34,0.15
"Azir","Middle",4,"6.1%","10.6%","16.7%","25%","75%",8,14,12,1.4,"48.8%","20.0%","0%",-358,-82,-6,8.8,"24.3%",629,"26.1%","21.5%",0.45,0.15
"Bard","Support",17,"25.8%","28.8%","54.5%","76%","29%",12,42,202,5.1,"75.1%","20.2%","24%",-101,-102,-3.6,1.1,"2.9%",252,"8.7%","10.4%",2.01,0.68
"Caitlyn","ADC",15,"22.7%","22.7%","45.5%","80%","47%",81,31,75,5,"59.5%","21.4%","7%",66,177,8.3,10.1,"29.5%",817,"26.0%","26.9%",0.42,0.39
"Camille","Top",2,"3.0%","0.0%","3.0%","100%","100%",6,11,20,2.4,"56.5%","37.9%","0%",-612,-613,-6.5,8.3,"27.2%",590,"17.6%","19.6%",0.33,0.2
"Cassiopeia","Middle",1,"1.5%","1.5%","3.0%","0%","100%",1,3,2,1,"75.0%","18.8%","0%",-84,-44,-5,9.6,"28.3%",688,"31.4%","26.2%",0.65,0.15
"Corki","ADC",17,"25.8%","1.5%","27.3%","41%","53%",86,42,75,3.8,"68.2%","17.3%","18%",-142,-62,-4.9,9.7,"30.1%",814,"28.8%","27.5%",0.42,0.34
"Dr. Mundo","Jungle",1,"1.5%","1.5%","3.0%","0%","100%",0,6,1,0.2,"50.0%","37.5%","0%",-485,-637,-7,6.6,"15.7%",612,"23.7%","17.4%",0.2,0.53
"Ezreal","ADC",23,"34.8%","16.7%","51.5%","35%","35%",77,73,129,2.8,"70.1%","17.7%","26%",79,89,0.9,9.7,"30.3%",821,"29.4%","27.4%",0.4,0.23
"Galio","Middle",7,"10.6%","3.0%","13.6%","86%","100%",9,15,71,5.3,"68.4%","18.3%","14%",-147,-153,-5.9,8.6,"23.9%",576,"17.8%","18.2%",0.29,0.27
"Gnar","Jungle",1,"1.5%","15.2%","36.4%","0%","100%",0,4,2,0.5,"50.0%","33.3%","0%",77,323,6,6.9,"15.7%",233,"16.3%","16.9%",0.42,0.49
"Gnar","Top",13,"19.7%","15.2%","36.4%","46%","46%",35,33,47,2.5,"46.1%","19.8%","15%",48,28,0.3,9.1,"26.2%",696,"25.2%","21.6%",0.38,0.2
"Gragas","Middle",1,"1.5%","0.0%","1.5%","100%","100%",0,1,8,8,"57.1%","16.7%","0%",-744,-614,-16,7.9,"23.0%",476,"15.6%","15.6%",0.7,0.11
"Gwen","Top",1,"1.5%","6.1%","7.6%","100%","100%",2,1,3,5,"29.4%","16.7%","0%",1031,526,20,10.1,"28.1%",711,"27.3%","22.4%",0.34,0.11
"Hwei","Middle",1,"1.5%","0.0%","1.5%","0%","0%",1,3,12,4.3,"81.3%","13.6%","0%",-214,144,-4,8.1,"22.2%",678,"19.4%","18.2%",0.52,0.17
"Ivern","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",14,"21.2%","51.5%","72.7%","64%","29%",31,40,150,4.5,"85.0%","22.9%","50%",49,5,0.6,7,"18.8%",397,"13.4%","19.5%",0.36,0.43
"Jax","Jungle",1,"1.5%","1.5%","3.0%","100%","100%",3,0,8,11,"68.8%","0.0%","0%",96,46,8,8.7,"24.3%",536,"20.4%","22.6%",0.88,0.54
"Jayce","Jungle",2,"3.0%","10.6%","24.2%","0%","100%",6,8,8,1.8,"77.8%","23.5%","50%",617,249,7.5,7.8,"20.0%",774,"26.9%","23.4%",0.46,0.43
"Jayce","Top",7,"10.6%","10.6%","24.2%","57%","43%",20,22,26,2.1,"51.7%","21.8%","14%",132,-167,9.1,9.3,"25.7%",770,"28.8%","22.3%",0.48,0.14
"Jhin","ADC",11,"16.7%","1.5%","18.2%","55%","73%",22,23,82,4.5,"65.4%","14.6%","27%",57,57,1.4,9.6,"27.9%",570,"20.6%","24.8%",0.44,0.21
"K'Sante","Top",23,"34.8%","3.0%","37.9%","35%","65%",70,73,106,2.4,"57.9%","19.6%","17%",44,-24,0.2,8.4,"23.0%",486,"17.7%","20.2%",0.38,0.17
"Kai'Sa","ADC",2,"3.0%","3.0%","6.1%","0%","100%",3,5,5,1.6,"66.7%","17.9%","50%",-150,-576,-12,8.9,"28.8%",416,"26.6%","26.4%",0.4,0.22
"Kalista","ADC",4,"6.1%","1.5%","7.6%","50%","50%",26,16,23,3.1,"77.8%","21.6%","0%",89,77,5.3,9.7,"31.6%",802,"26.3%","28.6%",0.51,0.54
"Karma","Support",7,"10.6%","80.3%","90.9%","43%","14%",3,12,58,5.1,"72.6%","10.7%","14%",92,-174,3.6,1.3,"2.5%",281,"9.5%","9.8%",1.93,0.49
"Kennen","Top",3,"4.5%","1.5%","6.1%","67%","100%",16,10,17,3.3,"62.3%","21.7%","0%",505,178,16.7,8.5,"25.2%",871,"30.4%","22.9%",0.34,0.18
"LeBlanc","Middle",4,"6.1%","16.7%","22.7%","75%","75%",20,4,23,10.8,"61.4%","10.8%","25%",430,266,-0.3,9.1,"23.1%",708,"24.7%","21.2%",0.37,0.27
"Lee Sin","Jungle",5,"7.6%","4.5%","12.1%","60%","60%",12,17,31,2.5,"66.2%","26.2%","60%",-54,232,4.2,7.1,"19.6%",396,"13.3%","19.5%",0.68,0.33
"Leona","Support",1,"1.5%","1.5%","3.0%","0%","0%",0,5,6,1.2,"66.7%","29.4%","100%",-160,-61,-3,1,"1.9%",131,"7.3%","10.1%",1.88,0.59
"Lissandra","Middle",3,"4.5%","0.0%","4.5%","33%","100%",5,6,12,2.8,"68.0%","16.2%","0%",-44,33,2,9,"23.4%",598,"28.4%","21.3%",0.38,0.13
"Lucian","ADC",9,"13.6%","3.0%","16.7%","56%","44%",43,20,40,4.2,"75.5%","19.0%","56%",75,-141,-1.2,9.6,"30.5%",963,"32.6%","28.0%",0.43,0.4
"Lulu","Support",14,"21.2%","12.1%","33.3%","36%","50%",6,28,109,4.1,"69.7%","14.3%","21%",-59,64,0.7,1.1,"2.2%",179,"6.9%","9.7%",1.9,0.46
"Lux","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",1,"1.5%","4.5%","6.1%","0%","100%",0,4,2,0.5,"40.0%","36.4%","0%",-220,-248,-11,8.3,"21.6%",562,"23.9%","17.9%",0.36,0.07
"Maokai","Jungle",1,"1.5%","4.5%","6.1%","0%","100%",0,1,2,2,"33.3%","5.9%","0%",-564,-1239,-28,6.7,"17.4%",740,"26.2%","17.7%",0.29,0.29
"Mel","Middle",2,"3.0%","6.1%","9.1%","100%","50%",15,2,14,14.5,"67.4%","13.3%","50%",148,482,9,9.8,"24.4%",946,"28.2%","23.2%",0.53,0.21
"Milio","Support",9,"13.6%","1.5%","15.2%","67%","78%",1,9,103,11.6,"86.7%","9.7%","22%",-47,12,-0.3,1,"1.6%",163,"5.5%","10.5%",1.79,0.38
"Miss Fortune","ADC",2,"3.0%","0.0%","3.0%","100%","0%",15,3,9,8,"60.0%","15.8%","50%",145,-98,-2.5,9.7,"29.0%",881,"28.3%","28.2%",0.5,0.22
"Naafiri","Jungle",3,"4.5%","9.1%","13.6%","67%","67%",12,9,18,3.3,"73.2%","25.7%","67%",51,-141,-2,7,"19.0%",523,"19.3%","20.1%",0.29,0.27
"Nami","Support",21,"31.8%","4.5%","36.4%","52%","43%",18,53,234,4.8,"84.8%","19.8%","62%",4,-30,-1.1,0.9,"1.7%",242,"8.7%","10.6%",1.87,0.36
"Nautilus","Support",7,"10.6%","48.5%","59.1%","14%","86%",4,31,44,1.5,"65.8%","22.5%","14%",29,-205,4.1,1.2,"1.9%",184,"6.5%","10.0%",1.92,0.4
"Neeko","Support",20,"30.3%","13.6%","43.9%","35%","40%",28,72,159,2.6,"68.2%","22.2%","20%",153,73,0.5,1.3,"3.2%",358,"13.0%","11.2%",2,0.61
"Nocturne","Jungle",11,"16.7%","54.5%","71.2%","27%","36%",31,33,65,2.9,"69.6%","19.2%","18%",-115,-19,0.2,7.2,"19.8%",350,"14.3%","20.7%",0.41,0.31
"Olaf","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",8,"12.1%","63.6%","75.8%","50%","13%",25,31,56,2.6,"69.2%","24.0%","0%",-97,-108,4.5,8.4,"22.2%",589,"21.5%","21.0%",0.46,0.23
"Ornn","Top",2,"3.0%","1.5%","4.5%","50%","100%",3,4,18,5.3,"84.0%","19.0%","50%",-734,-785,-14,8,"19.2%",517,"21.0%","16.8%",0.41,0.15
"Pantheon","Jungle",16,"24.2%","40.9%","65.2%","63%","13%",72,48,110,3.8,"70.0%","23.3%","44%",117,-175,-4.3,6.7,"17.7%",548,"18.6%","20.2%",0.34,0.32
"Poppy","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Qiyana","Jungle",1,"1.5%","1.5%","3.0%","100%","100%",3,2,6,4.5,"64.3%","40.0%","0%",1146,732,18,8.7,"23.4%",663,"23.5%","23.4%",0.27,0.17
"Rakan","Support",6,"9.1%","3.0%","12.1%","83%","50%",4,15,71,5,"68.2%","25.4%","50%",122,-84,3.7,1.3,"2.9%",160,"5.5%","10.5%",2.1,0.68
"Rek'Sai","Top",2,"3.0%","1.5%","4.5%","50%","100%",5,6,16,3.5,"61.8%","16.7%","0%",-96,250,1.5,9.1,"25.0%",576,"18.7%","20.8%",0.3,0.32
"Rell","Support",1,"1.5%","1.5%","3.0%","100%","100%",0,3,17,5.7,"68.0%","20.0%","0%",-693,-378,4,1,"2.0%",137,"4.3%","10.3%",2.32,0.44
"Renata Glasc","Support",4,"6.1%","0.0%","6.1%","50%","75%",2,16,48,3.1,"79.4%","21.6%","0%",-89,114,-1.3,1.2,"2.9%",194,"6.6%","11.0%",2,0.58
"Renekton","Top",15,"22.7%","21.2%","43.9%","40%","7%",39,40,48,2.2,"48.6%","17.1%","7%",170,174,2.5,9.1,"26.1%",608,"21.2%","22.1%",0.32,0.22
"Rumble","Top",18,"27.3%","37.9%","65.2%","56%","0%",45,55,100,2.6,"56.0%","20.6%","11%",-100,-8,-3.6,8,"22.0%",731,"25.0%","19.8%",0.42,0.11
"Ryze","Middle",17,"25.8%","34.8%","60.6%","59%","12%",58,41,89,3.6,"60.7%","20.2%","29%",2,-174,-4.2,9.2,"26.7%",602,"21.6%","21.9%",0.48,0.27
"Sejuani","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Senna","ADC",1,"1.5%","0.0%","1.5%","100%","100%",7,2,8,7.5,"78.9%","22.2%","100%",761,316,1,9.2,"25.8%",896,"28.6%","29.1%",0.31,0.48
"Seraphine","Support",8,"12.1%","28.8%","40.9%","38%","38%",8,18,72,4.4,"80.0%","15.4%","63%",161,122,2.8,1.3,"2.7%",262,"10.4%","11.3%",1.81,0.49
"Sion","Top",13,"19.7%","9.1%","28.8%","54%","77%",19,31,76,3.1,"53.4%","18.6%","8%",-364,-228,-8.4,8.1,"21.9%",538,"20.3%","18.5%",0.36,0.16
"Sivir","ADC",10,"15.2%","6.1%","21.2%","60%","100%",54,27,56,4.1,"72.8%","20.9%","20%",45,-4,0.3,10.5,"32.2%",883,"29.4%","28.9%",0.48,0.29
"Skarner","Jungle",5,"7.6%","15.2%","22.7%","80%","80%",17,11,40,5.2,"67.1%","20.8%","40%",17,128,3.8,6.7,"18.3%",500,"15.1%","18.6%",0.37,0.33
"Sylas","Middle",3,"4.5%","4.5%","9.1%","100%","100%",24,9,15,4.3,"59.1%","37.5%","0%",-76,140,-5.7,8.3,"23.3%",886,"28.9%","20.8%",0.48,0.11
"Syndra","Middle",5,"7.6%","10.6%","18.2%","20%","100%",14,15,16,2,"61.2%","19.7%","20%",233,299,10.6,9.2,"24.4%",895,"31.2%","22.1%",0.45,0.2
"Taliyah","Middle",3,"4.5%","7.6%","12.1%","33%","100%",9,11,21,2.7,"63.8%","17.5%","67%",-231,-334,-7.7,8.7,"25.8%",626,"23.9%","21.1%",0.69,0.15
"Thresh","Support",1,"1.5%","0.0%","1.5%","0%","100%",2,1,6,8,"88.9%","6.3%","0%",-425,-216,2,1,"1.6%",137,"6.6%","11.5%",2.16,0.44
"Trundle","Jungle",3,"4.5%","0.0%","4.5%","67%","100%",14,8,24,4.8,"80.9%","18.6%","33%",274,132,6.3,7.1,"20.0%",464,"14.6%","21.1%",0.26,0.53
"Twisted Fate","Middle",5,"7.6%","7.6%","15.2%","100%","60%",18,11,56,6.7,"71.8%","23.4%","20%",-173,-741,-14.2,9.4,"26.5%",579,"19.0%","24.5%",0.39,0.3
"Varus","ADC",12,"18.2%","42.4%","62.1%","50%","42%",52,31,58,3.5,"56.1%","17.0%","25%",28,55,3.6,9.3,"28.7%",791,"27.3%","26.5%",0.5,0.29
"Varus","Top",1,"1.5%","42.4%","62.1%","0%","0%",3,7,0,0.4,"20.0%","28.0%","0%",55,-258,-5,7.3,"18.0%",528,"20.7%","17.1%",0.44,0.12
"Vayne","Top",3,"4.5%","7.6%","12.1%","67%","100%",8,10,13,2.1,"47.7%","21.7%","0%",-560,-428,-5.3,8.8,"26.2%",836,"27.6%","21.0%",0.44,0.16
"Vex","-",0,"0%","1.5%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",9,"13.6%","34.8%","48.5%","67%","22%",31,38,72,2.7,"70.1%","33.6%","56%",94,-146,-0.7,7.6,"21.4%",403,"13.6%","21.1%",0.35,0.31
"Viktor","Middle",10,"15.2%","3.0%","18.2%","50%","30%",32,25,56,3.5,"58.3%","18.1%","20%",-105,52,3.7,8.8,"24.1%",892,"30.5%","20.5%",0.45,0.19
"Volibear","Top",2,"3.0%","1.5%","4.5%","100%","100%",4,2,15,9.5,"55.9%","22.2%","0%",-12,433,9.5,9,"23.1%",905,"26.3%","19.0%",0.41,0.17
"Wukong","Jungle",6,"9.1%","4.5%","13.6%","33%","83%",12,23,25,1.6,"69.8%","23.5%","50%",-219,-255,-7.5,6.7,"17.9%",335,"13.2%","19.4%",0.36,0.45
"Xayah","ADC",2,"3.0%","0.0%","3.0%","100%","50%",7,0,13,20,"60.6%","0.0%","0%",173,89,-2,10.6,"30.6%",631,"23.0%","26.7%",0.43,0.24
"Xerath","Middle",1,"1.5%","0.0%","1.5%","0%","100%",4,4,0,1,"57.1%","25.0%","0%",-122,-828,-24,8.8,"25.3%",923,"41.3%","24.9%",0.46,0.11
"Xin Zhao","Jungle",20,"30.3%","12.1%","42.4%","20%","55%",45,93,112,1.7,"63.6%","24.2%","10%",-170,11,-1.2,6.8,"18.7%",463,"17.0%","19.5%",0.32,0.39
"Yasuo","-",0,"0%","3.0%","3.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yone","Middle",2,"3.0%","0.0%","3.0%","100%","100%",8,5,11,3.8,"57.6%","31.3%","50%",741,284,1,9.7,"25.3%",803,"25.9%","22.0%",0.47,0.22
"Yorick","Top",3,"4.5%","6.1%","10.6%","33%","100%",9,9,16,2.8,"59.5%","24.3%","0%",-191,175,-6,9.2,"27.2%",713,"24.4%","23.1%",0.28,0.15
"Yunara","ADC",14,"21.2%","1.5%","22.7%","43%","36%",59,36,53,3.1,"65.1%","18.4%","14%",-138,-121,-4.1,10.2,"31.6%",761,"27.7%","29.5%",0.46,0.37
"Yuumi","Support",4,"6.1%","0.0%","6.1%","75%","50%",5,5,59,12.8,"86.5%","11.9%","0%",-4,507,-5,0.6,"0.6%",359,"10.7%","10.9%",1.58,0.13
"Zaahen","Jungle",11,"16.7%","1.5%","18.2%","73%","55%",39,30,81,4,"67.0%","20.8%","27%",-39,114,2.7,7.5,"20.9%",463,"15.0%","20.6%",0.32,0.59
"Zeri","ADC",1,"1.5%","0.0%","1.5%","0%","100%",7,5,4,2.2,"78.6%","22.7%","0%",-231,-727,-16,9.7,"36.6%",912,"31.5%","35.8%",0.4,0.65
"Zoe","Middle",8,"12.1%","18.2%","30.3%","13%","50%",20,23,32,2.3,"73.2%","16.5%","25%",190,182,4.5,8,"21.1%",689,"26.1%","20.0%",0.5,0.2
