"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Impact","Sentinels","Top",18,"50%","44%",44,53,71,2.2,"53.2%","20.4%","23.7%","6%",-135,-102,-1.7,8,"23.1%",572,"22.9%","21.2%",5302,240,"19.9%",1,0.45,0.14,0.1
"Inspired","LYON","Jungle",18,"67%","39%",54,42,118,4.1,"63.7%","20.0%","19.8%","28%",12,312,6.5,7.5,"20.0%",354,"13.1%","14.7%",2190,265,"20.1%",1,0.3,0.21,0.29
"Isles","LYON","Support",18,"67%","61%",7,34,203,6.2,"77.8%","2.6%","16.0%","44%",-10,-23,-1.3,0.9,"1.8%",218,"8.4%","6.6%",811,131,"9.9%",0,2.07,0.36,0.39
"Josedeodo","Team Liquid","Jungle",18,"61%","67%",87,39,128,5.5,"78.5%","31.8%","17.9%","39%",144,41,4.2,6.9,"18.8%",503,"17.6%","19.8%",2091,268,"20.9%",0,0.43,0.33,0.36
"KryRa","Disguised","Jungle",15,"27%","27%",34,58,82,2,"75.3%","22.1%","22.1%","47%",-212,-246,-5.7,6.4,"17.3%",462,"18.0%","20.6%",842,223,"19.0%",1,0.22,0.14,0.25
"Lyonz","Disguised","Support",15,"27%","67%",7,44,101,2.5,"70.1%","4.5%","16.7%","20%",-145,-109,-0.1,0.9,"1.8%",210,"8.6%","7.2%",586,115,"9.7%",0,1.71,0.4,0.35
"Massu","FlyQuest","ADC",19,"58%","58%",87,57,113,3.5,"69.4%","30.2%","22.7%","32%",43,144,2.5,9.2,"29.5%",796,"25.9%","27.4%",6472,322,"25.5%",0,0.37,0.05,0.26
"Morgan","Team Liquid","Top",18,"61%","50%",37,48,88,2.6,"45.6%","13.5%","22.0%","6%",97,66,1.8,8.5,"23.7%",564,"20.5%","18.6%",9047,259,"20.0%",0,0.41,0.21,0.24
"Palafox","Dignitas","Middle",17,"18%","47%",33,63,59,1.5,"59.4%","21.3%","24.4%","6%",-99,-66,0.3,8,"22.9%",554,"21.4%","20.8%",2344,213,"20.0%",0,0.55,0.24,0.19
"Photon","Dignitas","Top",17,"18%","65%",36,42,50,2,"55.5%","23.2%","16.3%","6%",-302,-144,-9.8,8.2,"25.8%",568,"22.5%","20.9%",5186,230,"21.3%",0,0.44,0.13,0.19
"Quad","FlyQuest","Middle",19,"58%","58%",61,46,143,4.4,"70.8%","21.2%","18.3%","11%",31,177,4.3,8.4,"22.5%",783,"26.6%","26.1%",6506,254,"20.4%",0,0.42,0.18,0.2
"Quid","Team Liquid","Middle",18,"61%","39%",60,49,115,3.6,"63.9%","21.9%","22.5%","33%",72,-33,-0.2,9,"25.6%",680,"24.5%","25.4%",7332,277,"21.7%",0,0.32,0.13,0.25
"Rahel","Sentinels","ADC",18,"50%","61%",67,37,80,4,"68.1%","31.0%","16.5%","17%",-10,-6,-2.3,10.3,"33.6%",682,"25.8%","27.9%",8393,342,"28.1%",0,0.52,0.19,0.3
"Saint","LYON","Middle",18,"67%","67%",85,46,94,3.9,"66.3%","31.5%","21.7%","22%",-4,-64,-2.1,9.4,"26.6%",676,"25.7%","26.5%",10091,312,"23.6%",0,0.34,0.15,0.36
"sajed","Disguised","ADC",15,"27%","80%",34,54,46,1.5,"51.9%","22.1%","20.5%","13%",-412,-128,-9,9.2,"30.6%",615,"24.2%","26.2%",3309,304,"25.3%",0,0.32,0.07,0.27
"Srtty","Disguised","Top",4,"50%","25%",10,9,25,3.9,"62.5%","17.9%","14.8%","0%",466,104,14.8,8,"21.2%",645,"24.2%","21.2%",8515,255,"20.7%",0,0.34,0.16,0.12
"Thanatos","Cloud9","Top",18,"78%","61%",50,36,93,4,"49.7%","17.4%","20.2%","11%",236,77,7.8,8.8,"23.2%",652,"22.0%","20.3%",9353,273,"20.2%",0,0.44,0.13,0.19
"Vulcan","Cloud9","Support",18,"78%","50%",20,23,217,10.3,"82.3%","6.9%","12.9%","22%",28,230,2.4,1.1,"2.2%",267,"9.0%","7.2%",1182,149,"11.1%",1,1.62,0.29,0.37
"Yeon","Team Liquid","ADC",18,"61%","39%",67,44,112,4.1,"65.3%","24.5%","20.2%","22%",-15,123,0.9,9.6,"29.8%",803,"28.7%","30.0%",9761,342,"26.4%",0,0.37,0.11,0.25
"Zinie","Shopify Rebellion","Middle",15,"33%","40%",38,46,85,2.7,"65.1%","20.1%","19.9%","13%",-171,-60,-2.4,8.5,"24.7%",637,"23.4%","23.5%",5962,249,"21.4%",0,0.43,0.24,0.25
"Zven","Cloud9","ADC",18,"78%","33%",84,40,120,5.1,"70.8%","29.2%","22.5%","22%",-45,-182,-2.8,9.8,"30.4%",906,"29.6%","31.7%",11283,360,"26.8%",0,0.38,0.09,0.3
